REMOTE: Color LED Remote

ACTION:ON/OFF


Received: 

OFF 	ON
3868 usec, 8840 usec
4280 usec, 620 usec
480 usec, 520 usec
580 usec, 500 usec
580 usec, 600 usec
480 usec, 520 usec
580 usec, 500 usec
580 usec, 600 usec
500 usec, 500 usec
580 usec, 500 usec
1680 usec, 520 usec
1660 usec, 600 usec
1580 usec, 500 usec
1660 usec, 540 usec
1640 usec, 600 usec
1600 usec, 480 usec
1680 usec, 520 usec
1640 usec, 620 usec
480 usec, 520 usec
580 usec, 500 usec
580 usec, 600 usec
520 usec, 480 usec
580 usec, 500 usec
580 usec, 600 usec
1600 usec, 480 usec
580 usec, 620 usec
1580 usec, 500 usec
1660 usec, 520 usec
1660 usec, 600 usec
1600 usec, 480 usec
1680 usec, 520 usec
1640 usec, 620 usec
500 usec, 500 usec
1660 usec, 580 usec
38640 usec, 8800 usec
2140 usec, 520 usec


ACTION:Skip button


Received: 

OFF 	ON
58296 usec, 8820 usec
4300 usec, 600 usec
500 usec, 500 usec
580 usec, 500 usec
580 usec, 600 usec
500 usec, 520 usec
560 usec, 500 usec
580 usec, 600 usec
500 usec, 520 usec
580 usec, 480 usec
1680 usec, 520 usec
1660 usec, 600 usec
1580 usec, 500 usec
1680 usec, 520 usec
1640 usec, 600 usec
1600 usec, 480 usec
1680 usec, 520 usec
1660 usec, 600 usec
1580 usec, 500 usec
580 usec, 600 usec
520 usec, 500 usec
580 usec, 480 usec
600 usec, 600 usec
480 usec, 520 usec
1640 usec, 620 usec
480 usec, 520 usec
580 usec, 500 usec
1680 usec, 520 usec
1640 usec, 600 usec
1600 usec, 480 usec
1680 usec, 520 usec
1660 usec, 600 usec
520 usec, 500 usec
1640 usec, 600 usec
38620 usec, 8820 usec
2140 usec, 520 usec

ACTION:Lower bright


Received: 

OFF 	ON
40584 usec, 8800 usec
4320 usec, 600 usec
500 usec, 580 usec
520 usec, 560 usec
500 usec, 600 usec
500 usec, 580 usec
520 usec, 560 usec
520 usec, 600 usec
480 usec, 580 usec
520 usec, 560 usec
1600 usec, 600 usec
1580 usec, 600 usec
1600 usec, 540 usec
1620 usec, 580 usec
1600 usec, 600 usec
1580 usec, 560 usec
1620 usec, 580 usec
1580 usec, 600 usec
1600 usec, 560 usec
520 usec, 580 usec
1600 usec, 560 usec
1600 usec, 560 usec
1620 usec, 580 usec
520 usec, 540 usec
1620 usec, 580 usec
520 usec, 540 usec
560 usec, 560 usec
1600 usec, 540 usec
560 usec, 580 usec
500 usec, 580 usec
520 usec, 540 usec
1620 usec, 580 usec
520 usec, 540 usec
1620 usec, 580 usec
38640 usec, 8840 usec
2120 usec, 580 usec

ACTION:Increase Bright

Received: 

OFF 	ON
12688 usec, 8820 usec
4300 usec, 600 usec
500 usec, 560 usec
540 usec, 480 usec
580 usec, 600 usec
500 usec, 560 usec
520 usec, 500 usec
580 usec, 600 usec
520 usec, 540 usec
540 usec, 540 usec
1620 usec, 580 usec
1600 usec, 560 usec
1620 usec, 560 usec
1620 usec, 580 usec
1580 usec, 560 usec
1640 usec, 540 usec
1640 usec, 560 usec
1600 usec, 600 usec
500 usec, 520 usec
580 usec, 480 usec
1680 usec, 520 usec
1660 usec, 600 usec
1580 usec, 500 usec
580 usec, 600 usec
1580 usec, 500 usec
580 usec, 600 usec
1600 usec, 520 usec
1640 usec, 580 usec
520 usec, 560 usec
520 usec, 600 usec
480 usec, 600 usec
1580 usec, 580 usec
520 usec, 580 usec
1580 usec, 600 usec
38620 usec, 8820 usec
2140 usec, 540 usec

ACTION_ARRAY:White

 white_row 0:

	Received: 

	OFF 	ON
	15264 usec, 8740 usec
	4380 usec, 580 usec
	520 usec, 520 usec
	580 usec, 480 usec
	600 usec, 580 usec
	500 usec, 520 usec
	580 usec, 500 usec
	580 usec, 620 usec
	460 usec, 520 usec
	580 usec, 500 usec
	1680 usec, 520 usec
	1640 usec, 620 usec
	1580 usec, 500 usec
	1660 usec, 520 usec
	1660 usec, 600 usec
	1600 usec, 480 usec
	1680 usec, 520 usec
	1660 usec, 580 usec
	500 usec, 520 usec
	580 usec, 500 usec
	1680 usec, 520 usec
	560 usec, 500 usec
	580 usec, 560 usec
	540 usec, 520 usec
	1660 usec, 540 usec
	540 usec, 520 usec
	1660 usec, 560 usec
	1620 usec, 500 usec
	580 usec, 560 usec
	1640 usec, 480 usec
	1680 usec, 520 usec
	1640 usec, 580 usec
	520 usec, 520 usec
	1660 usec, 560 usec
	38660 usec, 8820 usec
	2140 usec, 520 usec

 white_row 1:
 
	Received: 

	OFF 	ON
	948 usec, 8760 usec
	4360 usec, 580 usec
	520 usec, 560 usec
	520 usec, 600 usec
	480 usec, 580 usec
	520 usec, 560 usec
	520 usec, 600 usec
